"","park","death_cause","death_group","intent","outcome","sex","age_range","activity","incident_date","year"
"215","Denali National Park & Preserve","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Climbing",2008-07-07,2008
"216","Golden Gate National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Not Reported","Not Reported","Not Reported",2008-07-09,2008
"217","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2008-07-09,2008
"218","Indiana Dunes National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Swimming",2008-07-13,2008
"219","Grand Teton National Park","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Climbing",2008-07-19,2008
"220","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","45-54","Driving",2008-07-19,2008
"221","Upper Delaware Scenic & Recreational River","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2008-07-21,2008
"222","Gateway National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Not Reported",2008-07-25,2008
"223","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Swimming",2008-07-26,2008
"224","North Cascades National Park","Fall","Fall","Unintentional","Fatal injury","Female","45-54","Climbing",2008-07-26,2008
"225","Dinosaur National Monument","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Vessel Related",2008-07-27,2008
"226","Gateway National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Not Reported",2008-07-29,2008
"227","Indiana Dunes National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Swimming",2008-08-02,2008
"228","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Photographing",2008-08-08,2008
"229","Grand Teton National Park","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Not Reported",2008-08-09,2008
"230","Grand Teton National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2008-08-09,2008
"231","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","65+","Not Reported",2008-08-09,2008
"232","Great Falls Park","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Not Reported",2008-08-12,2008
"233","Glacier National Park","Avalanche","Environmental","Unintentional","Fatal injury","Not Reported","Not Reported","Climbing",2008-08-21,2008
"234","Lassen Volcanic National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","55-64","Driving",2008-08-24,2008
"235","Great Smoky Mountains National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Vessel Related",2008-08-27,2008
"236","Lassen Volcanic National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","55-64","Driving",2008-08-27,2008
"237","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Hiking",2008-08-28,2008
"238","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Vessel Related",2008-08-29,2008
"239","New River Gorge National River","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2008-08-29,2008
"240","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Swimming",2008-09-01,2008
"241","Mojave National Preserve","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2008-09-07,2008
"242","Yosemite National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","45-54","Driving",2008-09-08,2008
"243","Glen Canyon National Recreation Area","Flash flood","Environmental","Unintentional","Fatal injury","Male","55-64","Canyoneering",2008-09-10,2008
"244","Glen Canyon National Recreation Area","Flash flood","Environmental","Unintentional","Fatal injury","Female","55-64","Canyoneering",2008-09-10,2008
"245","Great Falls Park","Drowning","Drowning","Unintentional","Fatal injury","Not Reported","Not Reported","Not Reported",2008-09-11,2008
"246","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Vessel Related",2008-09-20,2008
"247","Indiana Dunes National Park","Drowning","Drowning","Unintentional","Fatal injury","Female","0-14","Swimming",2008-09-21,2008
"248","Big Thicket National Preserve","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","45-54","Driving",2008-09-25,2008
"249","Shenandoah National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","45-54","Not Reported",2008-09-29,2008
"250","Rocky Mountain National Park","Fall","Fall","Unintentional","Fatal injury","Male","35-44","Skiing",2008-09-30,2008
"251","Gauley River National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Female","55-64","Vessel Related",2008-10-03,2008
"252","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2008-10-03,2008
"253","National Mall & Memorial Parks","Bicycle only crash","Other Transportation","Unintentional","Fatal injury","Male","15-24","Bicycling",2008-10-05,2008
"254","Delaware Water Gap National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","15-24","Driving",2008-10-05,2008
"255","Delaware Water Gap National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","45-54","Driving",2008-10-05,2008
"256","Redwood National and State Parks","Fall","Fall","Unintentional","Fatal injury","Female","15-24","Not Reported",2008-10-16,2008
"257","Zion National Park","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Climbing",2008-10-17,2008
"258","Golden Gate National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Walking",2008-10-17,2008
"259","Glacier National Park","Fall","Fall","Unintentional","Fatal injury","Male","Not Reported","Not Reported",2008-10-22,2008
"260","Buffalo National River","Firearm","Other","Unintentional","Fatal injury","Male","25-34","Not Reported",2008-11-04,2008
"261","Great Smoky Mountains National Park","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Not Reported",2008-11-08,2008
"262","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Not Reported",2008-11-08,2008
"263","Lake Mead National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Male","35-44","Not Reported",2008-11-16,2008
"264","Amistad National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Playing Sports",2008-11-18,2008
"265","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","25-34","Driving",2008-11-20,2008
"266","Zion National Park","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Not Reported",2008-11-28,2008
"267","Zion National Park","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Not Reported",2008-11-29,2008
"268","Amistad National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Not Reported",2008-12-04,2008
"269","Gateway National Recreation Area","Hypothermia","Environmental","Unintentional","Fatal injury","Male","55-64","Not Reported",2008-12-14,2008
"270","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","55-64","Driving",2008-12-16,2008
"271","Harpers Ferry National Historical Park","Undetermined","Undetermined","Undetermined","Fatal injury","Female","65+","Not Reported",2008-12-18,2008
"272","Cuyahoga Valley National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Driving",2008-12-26,2008
"273","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2008-12-29,2008
"274","Golden Gate National Recreation Area","Hypothermia","Environmental","Unintentional","Fatal injury","Female","65+","Walking",2009-01-04,2009
"275","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2009-01-09,2009
"276","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2009-01-09,2009
"277","Hawaii Volcanoes National Park","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Male","65+","Flying",2009-01-16,2009
"278","Hawaii Volcanoes National Park","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Male","65+","Flying",2009-01-18,2009
"279","Chesapeake & Ohio Canal National Historical Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2009-01-20,2009
"280","Voyageurs National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","25-34","Snowmobiling",2009-01-24,2009
"281","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2009-01-24,2009
"282","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2009-01-29,2009
"283","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2009-01-29,2009
"284","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2009-01-29,2009
"285","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2009-01-29,2009
"286","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2009-01-29,2009
"287","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2009-01-29,2009
"288","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2009-01-29,2009
"289","Great Smoky Mountains National Park","Asphyxiation","Other","Unintentional","Fatal injury","Male","55-64","Suicide",2009-02-03,2009
"290","Grand Canyon National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","Not Reported","Not Reported",2009-02-05,2009
"291","Golden Gate National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Flying",2009-02-08,2009
"292","Golden Gate National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Flying",2009-02-09,2009
"293","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Walking",2009-02-10,2009
"294","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2009-02-17,2009
"295","Golden Gate National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Male","45-54","Not Reported",2009-02-18,2009
"296","Hot Springs National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","45-54","Driving",2009-03-07,2009
"297","Chattahoochee River National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","45-54","Not Reported",2009-03-09,2009
"298","Joshua Tree National Park","Fall","Fall","Unintentional","Fatal injury","Male","65+","Climbing",2009-03-15,2009
"299","Grand Canyon National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Not Reported",2009-03-16,2009
"300","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","55-64","Driving",2009-03-26,2009
"301","Great Falls Park","Drowning","Drowning","Unintentional","Fatal injury","Not Reported","Not Reported","Vessel Related",2009-04-03,2009
"302","Biscayne National Park","Drowning","Drowning","Unintentional","Fatal injury","Female","0-14","Vessel Related",2009-04-05,2009
"303","Biscayne National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Vessel Related",2009-04-05,2009
"304","Saint Croix National Scenic Riverway","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Vessel Related",2009-04-08,2009
"305","Great Smoky Mountains National Park","Fall","Fall","Unintentional","Fatal injury","Male","65+","Hiking",2009-04-10,2009
"306","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","45-54","Vessel Related",2009-04-12,2009
"307","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","45-54","Bicycling",2009-04-22,2009
"308","Gulf Islands National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Swimming",2009-04-24,2009
"309","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Female","Not Reported","Vessel Related",2009-04-25,2009
"310","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Female","Not Reported","Vessel Related",2009-04-25,2009
"311","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Vessel Related",2009-04-25,2009
"312","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Female","Not Reported","Vessel Related",2009-04-25,2009
